"burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
6.714285714,4.166666667,1.375,4.268650794,50,54,2.65,"resilience","permanent","stressful","not satisfied","1","1"
2.571428571,3,1.25,2.44047619,60,54,3.4,"resilience","permanent","stressful","not satisfied","1","1"
5.285714286,3,2.25,3.811904762,60,56,2.75,"resilience","permanent","stressful","not satisfied","1","1"
1.857142857,2.333333333,1.75,2.213492063,60,60,2.65,"resilience","permanent","stressful","not satisfied","1","1"
2,1.833333333,2.875,2.619444444,40,42,3.45,"resilience","permanent","stressful","not satisfied","1","1"
2.571428571,2.166666667,1.25,2.162698413,38,43,3.5,"resilience","permanent","stressful","not satisfied","1","1"
2,2,2,2.266666667,16,63,2.75,"resilience","short-term contract","stressful","not satisfied","1","1"
2.714285714,2.166666667,1.75,2.443650794,35,47,3.65,"resilience","permanent","stressful","satisfied","1","1"
2.857142857,2,1.5,2.319047619,45,55,NA,"resilience","permanent","stressful","satisfied","1","1"
2.142857143,2,2,2.314285714,30,37,3.7,"resilience","permanent","stressful","satisfied","1","1"
4.571428571,2.333333333,1.75,3.118253968,40,42,3.45,"resilience","permanent","stressful","satisfied","1","1"
2,2.833333333,2,2.544444444,60,45,4,"resilience","permanent","stressful","satisfied","1","1"
3.142857143,1.833333333,2.25,2.708730159,55,61,3.95,"resilience","short-term contract","not stressful","satisfied","1","1"
1.571428571,2.5,1.125,1.882142857,45,64,4.1,"resilience","short-term contract","not stressful","satisfied","1","1"
1.571428571,1.5,2.375,2.132142857,40,49,3.7,"resilience","short-term contract","stressful","satisfied","1","1"
3.428571429,3.333333333,3,3.653968254,55,53,2.75,"resilience","permanent","stressful","not satisfied","0","0"
3.857142857,3.166666667,2.25,3.391269841,55,50,3.35,"resilience","short-term contract","stressful","not satisfied","0","0"
4,2.666666667,1.625,2.980555556,50,43,3.55,"resilience","permanent","stressful","satisfied","0","0"
2.714285714,2,1.75,2.388095238,36,50,4.2,"resilience","short-term contract","stressful","satisfied","0","0"
